Infinitive,фальши́вить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,фальши́вящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,фальши́вивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,фальши́вя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,фальши́вив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,фальши́вивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,фальши́влю
2nd Sing,фальши́вишь
3rd Sing,фальши́вит
1st Pl,фальши́вим
2nd Pl,фальши́вите
3rd Pl,фальши́вят
Past M,фальши́вил
Past F,фальши́вила
Past N,фальши́вило
Past PL,фальши́вили
Imp S,фальши́вь
Imp PL,фальши́вьте
