Infinitive,фантази́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,фантази́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,фантази́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,фантази́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,фантази́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,фантази́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,фантази́рую
2nd Sing,фантази́руешь
3rd Sing,фантази́рует
1st Pl,фантази́руем
2nd Pl,фантази́руете
3rd Pl,фантази́руют
Past M,фантази́ровал
Past F,фантази́ровала
Past N,фантази́ровало
Past PL,фантази́ровали
Imp S,фантази́руй
Imp PL,фантази́руйте
