Infinitive,ухудша́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ухудша́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ухудша́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ухудша́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ухудша́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ухудша́юсь
2nd Sing,ухудша́ешься
3rd Sing,ухудша́ется
1st Pl,ухудша́емся
2nd Pl,ухудша́етесь
3rd Pl,ухудша́ются
Past M,ухудша́лся
Past F,ухудша́лась
Past N,ухудша́лось
Past PL,ухудша́лись
Imp S,ухудша́йся
Imp PL,ухудша́йтесь
