Infinitive,ухитри́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ухитри́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ухитри́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ухитрю́сь
2nd Sing,ухитри́шься
3rd Sing,ухитри́тся
1st Pl,ухитри́мся
2nd Pl,ухитри́тесь
3rd Pl,ухитря́тся
Past M,ухитри́лся
Past F,ухитри́лась
Past N,ухитри́лось
Past PL,ухитри́лись
Imp S,ухитри́сь
Imp PL,ухитри́тесь
