Infinitive,у́хать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,у́хающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,у́хавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,у́хая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,у́хав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,у́хавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,у́хаю
2nd Sing,у́хаешь
3rd Sing,у́хает
1st Pl,у́хаем
2nd Pl,у́хаете
3rd Pl,у́хают
Past M,у́хал
Past F,у́хала
Past N,у́хало
Past PL,у́хали
Imp S,у́хай
Imp PL,у́хайте
