Infinitive,ухвати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ухвати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ухвати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ухвачу́сь
2nd Sing,ухва́тишься
3rd Sing,ухва́тится
1st Pl,ухва́тимся
2nd Pl,ухва́титесь
3rd Pl,ухва́тятся
Past M,ухвати́лся
Past F,ухвати́лась
Past N,ухвати́лось
Past PL,ухвати́лись
Imp S,ухвати́сь
Imp PL,ухвати́тесь
