Infinitive,уха́живать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,уха́живающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,уха́живавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уха́живая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,уха́живав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,уха́живавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,уха́живаю
2nd Sing,уха́живаешь
3rd Sing,уха́живает
1st Pl,уха́живаем
2nd Pl,уха́живаете
3rd Pl,уха́живают
Past M,уха́живал
Past F,уха́живала
Past N,уха́живало
Past PL,уха́живали
Imp S,уха́живай
Imp PL,уха́живайте
