Infinitive,уху́дшить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,уху́дшивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уху́дшенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,уху́дшив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,уху́дшивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,уху́дшу
2nd Sing,уху́дшишь
3rd Sing,уху́дшит
1st Pl,уху́дшим
2nd Pl,уху́дшите
3rd Pl,уху́дшат
Past M,уху́дшил
Past F,уху́дшила
Past N,уху́дшило
Past PL,уху́дшили
Imp S,уху́дши
Imp PL,уху́дшите
