Infinitive,уху́дшиться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,уху́дшившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уху́дшившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,уху́дшусь
2nd Sing,уху́дшишься
3rd Sing,уху́дшится
1st Pl,уху́дшимся
2nd Pl,уху́дшитесь
3rd Pl,уху́дшатся
Past M,уху́дшился
Past F,уху́дшилась
Past N,уху́дшилось
Past PL,уху́дшились
Imp S,уху́дшись
Imp PL,уху́дшитесь
