Infinitive,ухвати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ухвати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ухва́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ухвати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ухвати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ухвачу́
2nd Sing,ухва́тишь
3rd Sing,ухва́тит
1st Pl,ухва́тим
2nd Pl,ухва́тите
3rd Pl,ухва́тят
Past M,ухвати́л
Past F,ухвати́ла
Past N,ухвати́ло
Past PL,ухвати́ли
Imp S,ухвати́
Imp PL,ухвати́те
