Infinitive,ухмыльну́ться
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ухмыльну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ухмыльну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ухмыльну́сь
2nd Sing,ухмыльнёшься
3rd Sing,ухмыльнётся
1st Pl,ухмыльнёмся
2nd Pl,ухмыльнётесь
3rd Pl,ухмыльну́тся
Past M,ухмыльну́лся
Past F,ухмыльну́лась
Past N,ухмыльну́лось
Past PL,ухмыльну́лись
Imp S,ухмыльни́сь
Imp PL,ухмыльни́тесь
