Infinitive,ухмыля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ухмыля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ухмыля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ухмыля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ухмыля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ухмыля́юсь
2nd Sing,ухмыля́ешься
3rd Sing,ухмыля́ется
1st Pl,ухмыля́емся
2nd Pl,ухмыля́етесь
3rd Pl,ухмыля́ются
Past M,ухмыля́лся
Past F,ухмыля́лась
Past N,ухмыля́лось
Past PL,ухмыля́лись
Imp S,ухмыля́йся
Imp PL,ухмыля́йтесь
