Infinitive,у́хнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,у́хнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,у́хнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,у́хнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,у́хну
2nd Sing,у́хнешь
3rd Sing,у́хнет
1st Pl,у́хнем
2nd Pl,у́хнете
3rd Pl,у́хнут
Past M,у́хнул
Past F,у́хнула
Past N,у́хнуло
Past PL,у́хнули
Imp S,у́хни
Imp PL,у́хните
