Infinitive,ухитря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ухитря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ухитря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ухитря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,ухитря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ухитря́юсь
2nd Sing,ухитря́ешься
3rd Sing,ухитря́ется
1st Pl,ухитря́емся
2nd Pl,ухитря́етесь
3rd Pl,ухитря́ются
Past M,ухитря́лся
Past F,ухитря́лась
Past N,ухитря́лось
Past PL,ухитря́лись
Imp S,ухитря́йся
Imp PL,ухитря́йтесь
