Infinitive,ушиби́ться
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,ушиби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,ушиби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,ушибу́сь
2nd Sing,ушибёшься
3rd Sing,ушибётся
1st Pl,ушибёмся
2nd Pl,ушибётесь
3rd Pl,ушибу́тся
Past M,уши́бся
Past F,уши́блась
Past N,уши́блось
Past PL,уши́блись
Imp S,ушиби́сь
Imp PL,ушиби́тесь
