Infinitive,ушиби́ть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,ушиби́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,уши́бленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ушиби́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ушиби́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ушибу́
2nd Sing,ушибёшь
3rd Sing,ушибёт
1st Pl,ушибём
2nd Pl,ушибёте
3rd Pl,ушибу́т
Past M,уши́б
Past F,уши́бла
Past N,уши́бло
Past PL,уши́бли
Imp S,ушиби́
Imp PL,ушиби́те
