Infinitive,доду́маться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,доду́мавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доду́мавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,доду́маюсь
2nd Sing,доду́маешься
3rd Sing,доду́мается
1st Pl,доду́маемся
2nd Pl,доду́маетесь
3rd Pl,доду́маются
Past M,доду́мался
Past F,доду́малась
Past N,доду́малось
Past PL,доду́мались
Imp S,доду́майся
Imp PL,доду́майтесь
