Infinitive,догада́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,догада́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,догада́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,догада́юсь
2nd Sing,догада́ешься
3rd Sing,догада́ется
1st Pl,догада́емся
2nd Pl,догада́етесь
3rd Pl,догада́ются
Past M,догада́лся
Past F,догада́лась
Past N,догада́лось
Past PL,догада́лись
Imp S,догада́йся
Imp PL,догада́йтесь
