Infinitive,доста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,доста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,доста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,доста́влю
2nd Sing,доста́вишь
3rd Sing,доста́вит
1st Pl,доста́вим
2nd Pl,доста́вите
3rd Pl,доста́вят
Past M,доста́вил
Past F,доста́вила
Past N,доста́вило
Past PL,доста́вили
Imp S,доста́вь
Imp PL,доста́вьте
