Infinitive,добра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,добра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,добра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,доберу́сь
2nd Sing,доберёшься
3rd Sing,доберётся
1st Pl,доберёмся
2nd Pl,доберётесь
3rd Pl,доберу́тся
Past M,добра́лся
Past F,добрала́сь
Past N,добрало́сь
Past PL,добрали́сь
Imp S,добери́сь
Imp PL,добери́тесь
