Infinitive,досажда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,досажда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,досажда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,досажда́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,досажда́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,досажда́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,досажда́ю
2nd Sing,досажда́ешь
3rd Sing,досажда́ет
1st Pl,досажда́ем
2nd Pl,досажда́ете
3rd Pl,досажда́ют
Past M,досажда́л
Past F,досажда́ла
Past N,досажда́ло
Past PL,досажда́ли
Imp S,досажда́й
Imp PL,досажда́йте
