Infinitive,дожи́ть
Zaliznyak Class,16b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дожи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,до́житый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,дожи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,дожи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дожи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,доживу́
2nd Sing,доживёшь
3rd Sing,доживёт
1st Pl,доживём
2nd Pl,доживёте
3rd Pl,доживу́т
Past M,до́жил
Past F,дожила́
Past N,до́жило
Past PL,до́жили
Imp S,доживи́
Imp PL,доживи́те
