Infinitive,дожида́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дожида́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дожида́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дожида́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дожида́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дожида́юсь
2nd Sing,дожида́ешься
3rd Sing,дожида́ется
1st Pl,дожида́емся
2nd Pl,дожида́етесь
3rd Pl,дожида́ются
Past M,дожида́лся
Past F,дожида́лась
Past N,дожида́лось
Past PL,дожида́лись
Imp S,дожида́йся
Imp PL,дожида́йтесь
