Infinitive,долбану́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,долбану́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,долбану́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,долбану́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,долбану́
2nd Sing,долбанёшь
3rd Sing,долбанёт
1st Pl,долбанём
2nd Pl,долбанёте
3rd Pl,долбану́т
Past M,долбану́л
Past F,долбану́ла
Past N,долбану́ло
Past PL,долбану́ли
Imp S,долбани́
Imp PL,долбани́те
