Infinitive,доходи́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,доходя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,доходи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доходя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,доходи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,доходи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дохожу́
2nd Sing,дохо́дишь
3rd Sing,дохо́дит
1st Pl,дохо́дим
2nd Pl,дохо́дите
3rd Pl,дохо́дят
Past M,доходи́л
Past F,доходи́ла
Past N,доходи́ло
Past PL,доходи́ли
Imp S,доходи́
Imp PL,доходи́те
