Infinitive,дорожа́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,дорожа́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дорожа́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дорожа́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дорожа́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,дорожа́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,дорожа́ю
2nd Sing,дорожа́ешь
3rd Sing,дорожа́ет
1st Pl,дорожа́ем
2nd Pl,дорожа́ете
3rd Pl,дорожа́ют
Past M,дорожа́л
Past F,дорожа́ла
Past N,дорожа́ло
Past PL,дорожа́ли
Imp S,дорожа́й
Imp PL,дорожа́йте
