Infinitive,доста́ть
Zaliznyak Class,15a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,доста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доста́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,доста́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,доста́ну
2nd Sing,доста́нешь
3rd Sing,доста́нет
1st Pl,доста́нем
2nd Pl,доста́нете
3rd Pl,доста́нут
Past M,доста́л
Past F,доста́ла
Past N,доста́ло
Past PL,доста́ли
Imp S,доста́нь
Imp PL,доста́ньте
