Infinitive,доку́ривать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,доку́ривающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,доку́ривавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доку́риваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,доку́ривая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,доку́ривав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,доку́ривавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,доку́риваю
2nd Sing,доку́риваешь
3rd Sing,доку́ривает
1st Pl,доку́риваем
2nd Pl,доку́риваете
3rd Pl,доку́ривают
Past M,доку́ривал
Past F,доку́ривала
Past N,доку́ривало
Past PL,доку́ривали
Imp S,доку́ривай
Imp PL,доку́ривайте
