Infinitive,достава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,достаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,достава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,достава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,достава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,достаю́сь
2nd Sing,достаёшься
3rd Sing,достаётся
1st Pl,достаёмся
2nd Pl,достаётесь
3rd Pl,достаю́тся
Past M,достава́лся
Past F,достава́лась
Past N,достава́лось
Past PL,достава́лись
Imp S,достава́йся
Imp PL,достава́йтесь
