Infinitive,доду́мать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,доду́мавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доду́манный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,доду́мав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,доду́мавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,доду́маю
2nd Sing,доду́маешь
3rd Sing,доду́мает
1st Pl,доду́маем
2nd Pl,доду́маете
3rd Pl,доду́мают
Past M,доду́мал
Past F,доду́мала
Past N,доду́мало
Past PL,доду́мали
Imp S,доду́май
Imp PL,доду́майте
