Infinitive,довезти́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,довёзший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,довезённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,довезя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,довёзши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,довезу́
2nd Sing,довезёшь
3rd Sing,довезёт
1st Pl,довезём
2nd Pl,довезёте
3rd Pl,довезу́т
Past M,довёз
Past F,довезла́
Past N,довезло́
Past PL,довезли́
Imp S,довези́
Imp PL,довези́те
