Infinitive,доби́ться
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,доби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,добью́сь
2nd Sing,добьёшься
3rd Sing,добьётся
1st Pl,добьёмся
2nd Pl,добьётесь
3rd Pl,добью́тся
Past M,доби́лся
Past F,доби́лась
Past N,доби́лось
Past PL,доби́лись
Imp S,добе́йся
Imp PL,добе́йтесь
