Infinitive,доноси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,донося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,доноси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,донося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,доноси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,доношу́сь
2nd Sing,доно́сишься
3rd Sing,доно́сится
1st Pl,доно́симся
2nd Pl,доно́ситесь
3rd Pl,доно́сятся
Past M,доноси́лся
Past F,доноси́лась
Past N,доноси́лось
Past PL,доноси́лись
Imp S,доноси́сь
Imp PL,доноси́тесь
