Infinitive,договори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,договори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,договори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,договорю́сь
2nd Sing,договори́шься
3rd Sing,договори́тся
1st Pl,договори́мся
2nd Pl,договори́тесь
3rd Pl,договоря́тся
Past M,договори́лся
Past F,договори́лась
Past N,договори́лось
Past PL,договори́лись
Imp S,договори́сь
Imp PL,договори́тесь
