Infinitive,дочита́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дочита́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дочи́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дочита́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дочита́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дочита́ю
2nd Sing,дочита́ешь
3rd Sing,дочита́ет
1st Pl,дочита́ем
2nd Pl,дочита́ете
3rd Pl,дочита́ют
Past M,дочита́л
Past F,дочита́ла
Past N,дочита́ло
Past PL,дочита́ли
Imp S,дочита́й
Imp PL,дочита́йте
