Infinitive,дока́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дока́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дока́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дока́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дока́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дока́зываюсь
2nd Sing,дока́зываешься
3rd Sing,дока́зывается
1st Pl,дока́зываемся
2nd Pl,дока́зываетесь
3rd Pl,дока́зываются
Past M,дока́зывался
Past F,дока́зывалась
Past N,дока́зывалось
Past PL,дока́зывались
Imp S,дока́зывайся
Imp PL,дока́зывайтесь
