Infinitive,добы́ть
Zaliznyak Class,irreg-a/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,добы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,добы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,до́бытый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,добы́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,добы́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,добу́ду
2nd Sing,добу́дешь
3rd Sing,добу́дет
1st Pl,добу́дем
2nd Pl,добу́дете
3rd Pl,добу́дут
Past M,добы́л
Past F,добыла́
Past N,добы́ло
Past PL,добы́ли
Imp S,добу́дь
Imp PL,добу́дьте
