Infinitive,докати́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,докати́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,докати́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,докачу́сь
2nd Sing,дока́тишься
3rd Sing,дока́тится
1st Pl,дока́тимся
2nd Pl,дока́титесь
3rd Pl,дока́тятся
Past M,докати́лся
Past F,докати́лась
Past N,докати́лось
Past PL,докати́лись
Imp S,докати́сь
Imp PL,докати́тесь
