Infinitive,добыва́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,добыва́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,добыва́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,добыва́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,добыва́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,добыва́юсь
2nd Sing,добыва́ешься
3rd Sing,добыва́ется
1st Pl,добыва́емся
2nd Pl,добыва́етесь
3rd Pl,добыва́ются
Past M,добыва́лся
Past F,добыва́лась
Past N,добыва́лось
Past PL,добыва́лись
Imp S,добыва́йся
Imp PL,добыва́йтесь
