Infinitive,дозна́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дозна́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дозна́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дозна́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дозна́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дозна́юсь
2nd Sing,дозна́ешься
3rd Sing,дозна́ется
1st Pl,дозна́емся
2nd Pl,дозна́етесь
3rd Pl,дозна́ются
Past M,дозна́лся
Past F,дозна́лась
Past N,дозна́лось
Past PL,дозна́лись
Imp S,дозна́йся
Imp PL,дозна́йтесь
