Infinitive,долженствова́ть
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,долженству́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,долженствова́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,долженству́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,долженствова́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,долженствова́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,долженству́ю
2nd Sing,долженству́ешь
3rd Sing,долженству́ет
1st Pl,долженству́ем
2nd Pl,долженству́ете
3rd Pl,долженству́ют
Past M,долженствова́л
Past F,долженствова́ла
Past N,долженствова́ло
Past PL,долженствова́ли
Imp S,долженству́й
Imp PL,долженству́йте
