Infinitive,допи́ть
Zaliznyak Class,11b/c[①]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,допи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,до́питый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,допи́тый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,допи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,допи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,допью́
2nd Sing,допьёшь
3rd Sing,допьёт
1st Pl,допьём
2nd Pl,допьёте
3rd Pl,допью́т
Past M,до́пил
Past F,допила́
Past N,до́пило
Past PL,до́пили
Imp S,допе́й
Imp PL,допе́йте
