Infinitive,дово́льствоваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дово́льствующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,дово́льствовавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дово́льствуясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,дово́льствовавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дово́льствуюсь
2nd Sing,дово́льствуешься
3rd Sing,дово́льствуется
1st Pl,дово́льствуемся
2nd Pl,дово́льствуетесь
3rd Pl,дово́льствуются
Past M,дово́льствовался
Past F,дово́льствовалась
Past N,дово́льствовалось
Past PL,дово́льствовались
Imp S,дово́льствуйся
Imp PL,дово́льствуйтесь
