Infinitive,домога́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,домога́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,домога́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,домога́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,домога́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,домога́юсь
2nd Sing,домога́ешься
3rd Sing,домога́ется
1st Pl,домога́емся
2nd Pl,домога́етесь
3rd Pl,домога́ются
Past M,домога́лся
Past F,домога́лась
Past N,домога́лось
Past PL,домога́лись
Imp S,домога́йся
Imp PL,домога́йтесь
