Infinitive,догна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,догна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,до́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,догна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,догна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,догоню́
2nd Sing,дого́нишь
3rd Sing,дого́нит
1st Pl,дого́ним
2nd Pl,дого́ните
3rd Pl,дого́нят
Past M,догна́л
Past F,догнала́
Past N,догна́ло
Past PL,догна́ли
Imp S,догони́
Imp PL,догони́те
