Infinitive,допра́шивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,допра́шивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,допра́шивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,допра́шиваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,допра́шивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,допра́шивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,допра́шивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,допра́шиваю
2nd Sing,допра́шиваешь
3rd Sing,допра́шивает
1st Pl,допра́шиваем
2nd Pl,допра́шиваете
3rd Pl,допра́шивают
Past M,допра́шивал
Past F,допра́шивала
Past N,допра́шивало
Past PL,допра́шивали
Imp S,допра́шивай
Imp PL,допра́шивайте
