Infinitive,дотро́нуться
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дотро́нувшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дотро́нувшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,дотро́нусь
2nd Sing,дотро́нешься
3rd Sing,дотро́нется
1st Pl,дотро́немся
2nd Pl,дотро́нетесь
3rd Pl,дотро́нутся
Past M,дотро́нулся
Past F,дотро́нулась
Past N,дотро́нулось
Past PL,дотро́нулись
Imp S,дотро́нься
Imp PL,дотро́ньтесь
