Infinitive,домини́ровать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,домини́рующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,домини́ровавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,домини́руя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,домини́ровав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,домини́ровавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,домини́рую
2nd Sing,домини́руешь
3rd Sing,домини́рует
1st Pl,домини́руем
2nd Pl,домини́руете
3rd Pl,домини́руют
Past M,домини́ровал
Past F,домини́ровала
Past N,домини́ровало
Past PL,домини́ровали
Imp S,домини́руй
Imp PL,домини́руйте
