Infinitive,достига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,достига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,достига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,достига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,достига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,достига́юсь
2nd Sing,достига́ешься
3rd Sing,достига́ется
1st Pl,достига́емся
2nd Pl,достига́етесь
3rd Pl,достига́ются
Past M,достига́лся
Past F,достига́лась
Past N,достига́лось
Past PL,достига́лись
Imp S,достига́йся
Imp PL,достига́йтесь
