Infinitive,догоре́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,догоре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,догоре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,догоре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,догорю́
2nd Sing,догори́шь
3rd Sing,догори́т
1st Pl,догори́м
2nd Pl,догори́те
3rd Pl,догоря́т
Past M,догоре́л
Past F,догоре́ла
Past N,догоре́ло
Past PL,догоре́ли
Imp S,догори́
Imp PL,догори́те
