Infinitive,долета́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,долета́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,долета́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,долета́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,долета́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,долета́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,долета́ю
2nd Sing,долета́ешь
3rd Sing,долета́ет
1st Pl,долета́ем
2nd Pl,долета́ете
3rd Pl,долета́ют
Past M,долета́л
Past F,долета́ла
Past N,долета́ло
Past PL,долета́ли
Imp S,долета́й
Imp PL,долета́йте
