Infinitive,досла́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,досла́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,до́сланный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,досла́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,досла́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дошлю́
2nd Sing,дошлёшь
3rd Sing,дошлёт
1st Pl,дошлём
2nd Pl,дошлёте
3rd Pl,дошлю́т
Past M,досла́л
Past F,досла́ла
Past N,досла́ло
Past PL,досла́ли
Imp S,дошли́
Imp PL,дошли́те
