Infinitive,допы́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,допы́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,допы́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,допы́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,допы́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,допы́тываюсь
2nd Sing,допы́тываешься
3rd Sing,допы́тывается
1st Pl,допы́тываемся
2nd Pl,допы́тываетесь
3rd Pl,допы́тываются
Past M,допы́тывался
Past F,допы́тывалась
Past N,допы́тывалось
Past PL,допы́тывались
Imp S,допы́тывайся
Imp PL,допы́тывайтесь
