Infinitive,догова́риваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,догова́ривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,догова́ривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,догова́риваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,догова́ривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,догова́риваюсь
2nd Sing,догова́риваешься
3rd Sing,догова́ривается
1st Pl,догова́риваемся
2nd Pl,догова́риваетесь
3rd Pl,догова́риваются
Past M,догова́ривался
Past F,догова́ривалась
Past N,догова́ривалось
Past PL,догова́ривались
Imp S,догова́ривайся
Imp PL,догова́ривайтесь
