Infinitive,докла́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,докла́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,докла́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,докла́дываемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,докла́дывая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,докла́дывав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,докла́дывавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,докла́дываю
2nd Sing,докла́дываешь
3rd Sing,докла́дывает
1st Pl,докла́дываем
2nd Pl,докла́дываете
3rd Pl,докла́дывают
Past M,докла́дывал
Past F,докла́дывала
Past N,докла́дывало
Past PL,докла́дывали
Imp S,докла́дывай
Imp PL,докла́дывайте
