Infinitive,довести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дове́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доведя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,дове́дшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,доведу́сь
2nd Sing,доведёшься
3rd Sing,доведётся
1st Pl,доведёмся
2nd Pl,доведётесь
3rd Pl,доведу́тся
Past M,довёлся
Past F,довела́сь
Past N,довело́сь
Past PL,довели́сь
Imp S,доведи́сь
Imp PL,доведи́тесь
