Infinitive,дотяну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,дотяну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дотяну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,дотяну́сь
2nd Sing,дотя́нешься
3rd Sing,дотя́нется
1st Pl,дотя́немся
2nd Pl,дотя́нетесь
3rd Pl,дотя́нутся
Past M,дотяну́лся
Past F,дотяну́лась
Past N,дотяну́лось
Past PL,дотяну́лись
Imp S,дотяни́сь
Imp PL,дотяни́тесь
