Infinitive,докуча́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,докуча́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,докуча́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,докуча́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,докуча́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,докуча́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,докуча́ю
2nd Sing,докуча́ешь
3rd Sing,докуча́ет
1st Pl,докуча́ем
2nd Pl,докуча́ете
3rd Pl,докуча́ют
Past M,докуча́л
Past F,докуча́ла
Past N,докуча́ло
Past PL,докуча́ли
Imp S,докуча́й
Imp PL,докуча́йте
