Infinitive,дое́сть
Zaliznyak Class,irreg-b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,дое́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,дое́денный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,дое́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,дое́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,дое́м
2nd Sing,дое́шь
3rd Sing,дое́ст
1st Pl,доеди́м
2nd Pl,доеди́те
3rd Pl,доедя́т
Past M,дое́л
Past F,дое́ла
Past N,дое́ло
Past PL,дое́ли
Imp S,дое́шь
Imp PL,дое́шьте
