Infinitive,допусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,допусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,допу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,допусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,допусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,допущу́
2nd Sing,допу́стишь
3rd Sing,допу́стит
1st Pl,допу́стим
2nd Pl,допу́стите
3rd Pl,допу́стят
Past M,допусти́л
Past F,допусти́ла
Past N,допусти́ло
Past PL,допусти́ли
Imp S,допусти́
Imp PL,допусти́те
