Infinitive,дорасти́
Zaliznyak Class,7b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,доро́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доро́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,дорасту́
2nd Sing,дорастёшь
3rd Sing,дорастёт
1st Pl,дорастём
2nd Pl,дорастёте
3rd Pl,дорасту́т
Past M,доро́с
Past F,доросла́
Past N,доросло́
Past PL,доросли́
Imp S,дорасти́dorastí
Imp PL,дорасти́те
