Infinitive,докури́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,докури́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,доку́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,докури́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,докури́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,докурю́
2nd Sing,доку́ришь
3rd Sing,доку́рит
1st Pl,доку́рим
2nd Pl,доку́рите
3rd Pl,доку́рят
Past M,докури́л
Past F,докури́ла
Past N,докури́ло
Past PL,докури́ли
Imp S,докури́
Imp PL,докури́те
