Infinitive,догора́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,догора́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,догора́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,догора́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,догора́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,догора́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,догора́ю
2nd Sing,догора́ешь
3rd Sing,догора́ет
1st Pl,догора́ем
2nd Pl,догора́ете
3rd Pl,догора́ют
Past M,догора́л
Past F,догора́ла
Past N,догора́ло
Past PL,догора́ли
Imp S,догора́й
Imp PL,догора́йте
