Infinitive,добежа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,добежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,добежа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,добежа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,добегу́
2nd Sing,добежи́шь
3rd Sing,добежи́т
1st Pl,добежи́м
2nd Pl,добежи́те
3rd Pl,добегу́т
Past M,добежа́л
Past F,добежа́ла
Past N,добежа́ло
Past PL,добежа́ли
Imp S,добеги́
Imp PL,добеги́те
